station_raw,time_to_tokyo_min
ＪＲ中央線/立川駅,51.0
東急田園都市線/駒沢大学駅,32.0
東急田園都市線/桜新町駅,35.0
東急田園都市線/三軒茶屋駅,28.0
東京メトロ千代田線/湯島駅,16.0
東京メトロ銀座線/上野広小路駅,11.0
東京メトロ銀座線/末広町駅,10.0
ＪＲ青梅線/小作駅,69.0
ＪＲ青梅線/河辺駅,72.0
ＪＲ青梅線/東青梅駅,75.0
東京メトロ半蔵門線/永田町駅,14.0
東京メトロ丸ノ内線/赤坂見附駅,8.0
東京メトロ南北線/溜池山王駅,14.0
ＪＲ中央線/国分寺駅,40.0
ＪＲ中央線/武蔵小金井駅,38.0
ＪＲ武蔵野線/西国分寺駅,43.0
ＪＲ中央線/高円寺駅,29.0
西武新宿線/野方駅,47.0
東京メトロ丸ノ内線/新高円寺駅,28.0
東京メトロ丸ノ内線/東高円寺駅,26.0
東京メトロ丸ノ内線/新中野駅,24.0
ＪＲ中央線/中野駅,18.0
京王相模原線/京王永山駅,53.0
小田急多摩線/はるひ野駅,57.0
京王相模原線/若葉台駅,55.0
東京メトロ千代田線/根津駅,18.0
ＪＲ山手線/上野駅,8.0
都営大江戸線/築地市場駅,24.0
都営大江戸線/汐留駅,12.0
新交通ゆりかもめ/新橋駅,4.0
東京メトロ南北線/永田町駅,17.0
東京メトロ銀座線/溜池山王駅,14.0
東京メトロ日比谷線/秋葉原駅,4.0
都営新宿線/岩本町駅,17.0
ＪＲ山手線/御徒町駅,6.0
東京メトロ日比谷線/仲御徒町駅,12.0
東京メトロ銀座線/赤坂見附駅,8.0
東京メトロ千代田線/赤坂駅,17.0
東急田園都市線/すずかけ台駅,64.0
東急田園都市線/南町田グランベリーパーク駅,58.0
東急田園都市線/つくし野駅,62.0
東京メトロ有楽町線/銀座一丁目駅,10.0
東京メトロ銀座線/銀座駅,2.0
ＪＲ山手線/有楽町駅,2.0
ＪＲ青梅線/羽村駅,66.0
都営大江戸線/上野御徒町駅,13.0
東京メトロ銀座線/京橋駅,922.0
都営浅草線/宝町駅,15.0
都営三田線/高島平駅,44.0
都営三田線/新高島平駅,45.0
都営三田線/西台駅,42.0
都営新宿線/小川町駅,8.0
東京メトロ東西線/竹橋駅,14.0
東京メトロ千代田線/大手町駅,1.0
都営三田線/内幸町駅,16.0
東京メトロ銀座線/虎ノ門駅,11.0
ＪＲ山手線/新橋駅,4.0
東急東横線/田園調布駅,41.0
東急目黒線/奥沢駅,39.0
東急東横線/多摩川駅,40.0
東京メトロ千代田線/千駄木駅,20.0
東京メトロ南北線/東大前駅,24.0
東京メトロ有楽町線/永田町駅,14.0
ＪＲ山手線/原宿駅,26.0
東京メトロ千代田線/明治神宮前駅,22.0
東京メトロ副都心線/北参道駅,29.0
東京メトロ丸ノ内線/霞ケ関駅,4.0
ＪＲ青梅線/青梅駅,77.0
小田急線/鶴川駅,65.0
